ID,filename.x,TYPE,BOX_AND_CODE,STATE,fullest_code,type_branch,rep,cluster,Region,zip_code
Vicky2.e9.355.B6B.mzXML.Peak.area,Vicky2-e9-355-B6B.mzXML,isolate,355-B6,UT,Vicky2-e9-355-B6B,branch_v,b,clu6_4,Southwest,84321
Vicky2.f1.282.B3A.mzXML.Peak.area,Vicky2-f1-282-B3A.mzXML,isolate,282-B3,UT,Vicky2-f1-282-B3A,branch_v,a,clu6_4,Southwest,84337
Vicky2.f1.282.B3B.mzXML.Peak.area,Vicky2-f1-282-B3B.mzXML,isolate,282-B3,UT,Vicky2-f1-282-B3B,branch_v,b,clu6_4,Southwest,84337
Vicky2.f10.383.G3A.mzXML.Peak.area,Vicky2-f10-383-G3A.mzXML,isolate,383-G3,UT,Vicky2-f10-383-G3A,branch_v,a,clu6_4,Southwest,84322
Vicky2.f10.383.G3B.mzXML.Peak.area,Vicky2-f10-383-G3B.mzXML,isolate,383-G3,UT,Vicky2-f10-383-G3B,branch_v,b,clu6_4,Southwest,84322
Vicky2.f11.387.E1A.mzXML.Peak.area,Vicky2-f11-387-E1A.mzXML,isolate,387-E1,CA,Vicky2-f11-387-E1A,branch_v,a,clu6_5,West,92629
Vicky2.f11.387.E1B.mzXML.Peak.area,Vicky2-f11-387-E1B.mzXML,isolate,387-E1,CA,Vicky2-f11-387-E1B,branch_v,b,clu6_5,West,92629
Vicky2.f12.387.A9A.mzXML.Peak.area,Vicky2-f12-387-A9A.mzXML,isolate,387-A9,CA,Vicky2-f12-387-A9A,branch_v,a,clu6_5,West,92675
Vicky2.f12.387.A9B.mzXML.Peak.area,Vicky2-f12-387-A9B.mzXML,isolate,387-A9,CA,Vicky2-f12-387-A9B,branch_v,b,clu6_5,West,92675
Vicky2.f3.390.E1A.mzXML.Peak.area,Vicky2-f3-390-E1A.mzXML,isolate,390-E1,NM,Vicky2-f3-390-E1A,branch_v,a,clu6_5,Southwest,87108
Vicky2.f3.390.E1B.mzXML.Peak.area,Vicky2-f3-390-E1B.mzXML,isolate,390-E1,NM,Vicky2-f3-390-E1B,branch_v,b,clu6_5,Southwest,87108
Vicky2.f5.362.C3A.mzXML.Peak.area,Vicky2-f5-362-C3A.mzXML,isolate,362-C3,UT,Vicky2-f5-362-C3A,branch_v,a,clu6_2,Southwest,84088
Vicky2.f5.362.C3B.mzXML.Peak.area,Vicky2-f5-362-C3B.mzXML,isolate,362-C3,UT,Vicky2-f5-362-C3B,branch_v,b,clu6_2,Southwest,84088
Vicky2.f6.333.A8A.mzXML.Peak.area,Vicky2-f6-333-A8A.mzXML,isolate,333-A8,AZ,Vicky2-f6-333-A8A,branch_v,a,clu6_5,Southwest,85013
Vicky2.f6.333.A8B.mzXML.Peak.area,Vicky2-f6-333-A8B.mzXML,isolate,333-A8,AZ,Vicky2-f6-333-A8B,branch_v,b,clu6_5,Southwest,85013
Vicky2.f7.359.B7A.mzXML.Peak.area,Vicky2-f7-359-B7A.mzXML,isolate,359-B7,CA,Vicky2-f7-359-B7A,branch_v,a,clu6_5,West,93065
