"merge","filename.x","TYPE","BOX_AND_CODE","STATE","fullest_code","type_branch","rep","cluster","Region","zip_code","combined","otu_count"
"180-B9a","Vicky1-a9-180-B9A.mzXML","isolate","180-B9","CA","Vicky1-a9-180-B9A","branch_u","a","clu6_1","West",95817,"clu6_1-branch_u",691
"180-B9b","Vicky1-a9-180-B9B.mzXML","isolate","180-B9","CA","Vicky1-a9-180-B9B","branch_u","b","clu6_1","West",95817,"clu6_1-branch_u",866
"183-H4a","Vicky1-a10-183-H4A.mzXML","isolate","183-H4","SD","Vicky1-a10-183-H4A","branch_u","a","clu6_1","West North Central",57401,"clu6_1-branch_u",474
"183-H4b","Vicky1-a10-183-H4B.mzXML","isolate","183-H4","SD","Vicky1-a10-183-H4B","branch_u","b","clu6_1","West North Central",57401,"clu6_1-branch_u",511
"185-D9a","Vicky1-a8-185-D9A.mzXML","isolate","185-D9","MA","Vicky1-a8-185-D9A","branch_u","a","clu6_1","Northeast",2126,"clu6_1-branch_u",833
"185-D9b","Vicky1-a8-185-D9B.mzXML","isolate","185-D9","MA","Vicky1-a8-185-D9B","branch_u","b","clu6_1","Northeast",2126,"clu6_1-branch_u",752
"185-F7a","Vicky1-f7-185-F7A.mzXML","isolate","185-F7","NE","Vicky1-f7-185-F7A","branch_u","a","clu6_1","West North Central",69337,"clu6_1-branch_u",631
"185-F7b","Vicky1-f7-185-F7B.mzXML","isolate","185-F7","NE","Vicky1-f7-185-F7B","branch_u","b","clu6_1","West North Central",69337,"clu6_1-branch_u",400
"186-F11a","Vicky2-c4-186-F11A.mzXML","isolate","186-F11","WI","Vicky2-c4-186-F11A","branch_u","a","clu6_1","East North Central",54166,"clu6_1-branch_u",795
"186-F11b","Vicky2-c4-186-F11B.mzXML","isolate","186-F11","WI","Vicky2-c4-186-F11B","branch_u","b","clu6_1","East North Central",54166,"clu6_1-branch_u",408
"186-F8a","Vicky1-d1-186-F8A.mzXML","isolate","186-F8","WI","Vicky1-d1-186-F8A","branch_y","a","clu6_3","East North Central",54166,"clu6_3-branch_y",711
"186-F8b","Vicky1-d1-186-F8B.mzXML","isolate","186-F8","WI","Vicky1-d1-186-F8B","branch_y","b","clu6_3","East North Central",54166,"clu6_3-branch_y",496
"190-D4a","Vicky1-d3-190-D4A.mzXML","isolate","190-D4","UT","Vicky1-d3-190-D4A","branch_y","a","clu6_3","Southwest",84758,"clu6_3-branch_y",554
"190-D4b","Vicky1-d3-190-D4B.mzXML","isolate","190-D4","UT","Vicky1-d3-190-D4B","branch_y","b","clu6_3","Southwest",84758,"clu6_3-branch_y",505
"194-H4a","Vicky1-b9-194-H4A.mzXML","isolate","194-H4","UT","Vicky1-b9-194-H4A","branch_u","a","clu6_2","Southwest",84758,"clu6_2-branch_u",723
"194-H4b","Vicky1-b9-194-H4B.mzXML","isolate","194-H4","UT","Vicky1-b9-194-H4B","branch_u","b","clu6_1","Southwest",84758,"clu6_1-branch_u",297
"197-B1a","Vicky1-b1-197-B1A.mzXML","isolate","197-B1","OH","Vicky1-b1-197-B1A","branch_u","a","clu6_1","Central",43440,"clu6_1-branch_u",627
"197-B1b","Vicky1-b1-197-B1B.mzXML","isolate","197-B1","OH","Vicky1-b1-197-B1B","branch_u","b","clu6_1","Central",43440,"clu6_1-branch_u",583
"197-D9a","Vicky1-b6-197-D9A.mzXML","isolate","197-D9","UT","Vicky1-b6-197-D9A","branch_u","a","clu6_1","Southwest",84758,"clu6_1-branch_u",710
"197-D9b","Vicky1-b6-197-D9B.mzXML","isolate","197-D9","UT","Vicky1-b6-197-D9B","branch_u","b","clu6_1","Southwest",84758,"clu6_1-branch_u",365
"197-E10a","Vicky1-c3-197-E10A.mzXML","isolate","197-E10","UT","Vicky1-c3-197-E10A","branch_y","a","clu6_3","Southwest",84758,"clu6_3-branch_y",578
